question_id,category,gold_page_count,recall_at_1,hit_at_1,recall_at_3,hit_at_3,recall_at_5,hit_at_5
LOCK_REG_001,direct_regulatory_lookup,1,1.0,1,1.0,1,1.0,1
LOCK_REG_002,direct_regulatory_lookup,2,0.0,0,0.5,1,1.0,1
LOCK_REG_003,direct_regulatory_lookup,1,1.0,1,1.0,1,1.0,1
LOCK_REG_004,direct_regulatory_lookup,1,0.0,0,1.0,1,1.0,1
LOCK_REG_005,direct_regulatory_lookup,1,1.0,1,1.0,1,1.0,1
LOCK_REG_006,direct_regulatory_lookup,1,0.0,0,1.0,1,1.0,1
LOCK_TEMP_001,temporal_reasoning,2,0.5,1,0.5,1,0.5,1
LOCK_TEMP_002,temporal_reasoning,2,0.5,1,1.0,1,1.0,1
LOCK_TEMP_003,temporal_reasoning,2,0.5,1,0.5,1,1.0,1
LOCK_AMEND_001,amendment_change,2,0.5,1,0.5,1,0.5,1
LOCK_AMEND_002,amendment_change,3,0.3333333333333333,1,0.6666666666666666,1,0.6666666666666666,1
LOCK_AMEND_003,amendment_change,5,0.2,1,0.4,1,0.6,1
LOCK_AMEND_004,amendment_change,4,0.0,0,0.25,1,0.5,1
LOCK_REPORT_001,report_fact_retrieval,1,1.0,1,1.0,1,1.0,1
LOCK_REPORT_002,report_fact_retrieval,1,1.0,1,1.0,1,1.0,1
LOCK_REPORT_003,report_fact_retrieval,1,0.0,0,1.0,1,1.0,1
LOCK_REPORT_004,report_fact_retrieval,1,1.0,1,1.0,1,1.0,1
LOCK_REPORT_005,report_fact_retrieval,1,1.0,1,1.0,1,1.0,1
LOCK_REPORT_006,report_fact_retrieval,1,0.0,0,1.0,1,1.0,1
LOCK_REPORT_007,report_fact_retrieval,1,0.0,0,1.0,1,1.0,1
LOCK_SYNTH_001,cross_document_synthesis,2,0.0,0,0.0,0,0.0,0
LOCK_SYNTH_002,cross_document_synthesis,2,0.0,0,0.0,0,0.0,0
LOCK_SYNTH_003,cross_document_synthesis,2,0.0,0,0.0,0,0.0,0
